name,capital_name,lon,lat
新疆,乌鲁木齐,87.576079,43.782225
西藏,拉萨,91.163218,29.71056
青海,西宁,101.797439,36.593725
甘肃,兰州,103.584421,36.119175
四川,成都,104.035634,30.714315
重庆,重庆,106.519225,29.479073
贵州,贵阳,106.668183,26.457486
云南,昆明,102.726915,24.969568
宁夏,银川,106.167324,38.598593
陕西,西安,108.967213,34.276221
广西,南宁,108.234036,22.748502
海南,海口,110.346274,19.97015
广东,广州,113.226755,23.183277
湖南,长沙,112.947996,28.170082
江西,南昌,115.893762,28.652529
福建,福州,119.246798,26.070956
台湾,台北,121.503585,25.008476
浙江,杭州,120.183062,30.330742
上海,上海,121.449713,31.253514
湖北,武汉,114.216652,30.579401
安徽,合肥,117.262334,31.838495
江苏,南京,118.805714,32.085164
河南,郑州,113.651151,34.746419
山东,济南,117.048354,36.608511
河北,石家庄,114.478253,38.033361
山西,太原,112.483119,37.798488
内蒙古,呼和浩特,111.842856,40.895807
天津,天津,117.351108,38.925801
辽宁,沈阳,123.29626,41.801674
吉林,长春,125.261357,43.982041
黑龙江,哈尔滨,126.567056,45.693857
北京,北京,116.068297,39.892297
香港,香港,114.093184,22.428066
澳门,澳门,113.552554,22.18471
